대학,기사 제목,언론사 링크,네이버 뉴스 링크,요약,발행일
고려대학교,"고려아연, 美 제련소·AX 전환 대비 글로벌 인재 육성",https://zdnet.co.kr/view/?no=20260826153247,https://n.news.naver.com/mnews/article/092/0002435171?sid=105,관리자 육성을 위해 고려대학교 경영전문대학원과 공동으로 7개월 과정의 ‘고려아연 및 계열사 리더십 아카데미’를 운영했다. 참가자들은 경영 이론을 학습하고 액션러닝 방식으로 현업 과제의 해결 방안을...,"Wed, 26 Aug 2026 15:52:00 +0900"
고려대학교,"[고려대학교] 학생부교과, 학생부 90% 반영",https://www.naeil.com/news/read/600273?ref=naver,https://www.naeil.com/news/read/600273?ref=naver,고려대는 2027학년도 수시모집에서 전년 대비 28명 늘어난 2731명의 신입생을 선발한다. 전형별 모집 인원은... 면접은 제시문 기반으로 7분간 진행하며 의과대학은 다중미니면접(MMI)을 실시한다. 수능 최저학력기준은...,"Thu, 27 Aug 2026 13:10:00 +0900"
고려대학교,1975년 4·7 고려대 도서관 점거 농성,https://www.yna.co.kr/view/PYH20260825202400004?input=1196m,https://n.news.naver.com/mnews/article/001/0016270436?sid=102,민주화운동기념사업회가 '3·1 민주구국선언' 50주년을 맞아 유신체제 저항운동의 역사를 기록한 항목들을 새로 공개한다. 사업회는 오는 26일 웹사전 '민주화운동사전'에 제4공화국 유신 체제하 긴급조치 4∼9호...,"Tue, 25 Aug 2026 20:18:00 +0900"
고려대학교,"고려대, 학생부교과전형,성적 90%+서류 10%",https://www.mk.co.kr/article/12135819,https://n.news.naver.com/mnews/article/009/0005725557?sid=102,"고려대(총장 김동원)가 2027학년도 수시모집에서 전년 대비 28명 늘어난 2731명의 신입생을 선발한다. 전형별... 면접은 제시문을 기반으로 7분간 진행되며(의과대학은 MMI 실시), 수능최저학력기준은 적용하지 않는다....","Tue, 25 Aug 2026 16:04:00 +0900"
고려대학교,"고려대 김동원 총장, 연세대 명예 철학박사 학위 수여",https://www.chosun.com/national/national_general/2026/08/26/UDX6TLPMHBAHFM54N6B3LPXWM4/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003994995?sid=102,"이후 1997년 고려대 경영대 교수로 부임한 뒤, 지난 2023년 3월 제21대 고려대 총장으로 선출됐다. 내년 2월까지 임기 만료를 약 6개월 남겨둔 상태다. 김 총장은 총무처장, 기획예산처장, 노동대학원장 등 내부 행정...","Wed, 26 Aug 2026 13:43:00 +0900"
연세대학교,"연세대 근처에서 이번엔 하체 노출‥""'복면남' 동일인 여부 조사""",https://imnews.imbc.com/news/2026/society/article/6847140_36918.html,https://n.news.naver.com/mnews/article/214/0001519929?sid=102,연세대 신촌캠퍼스 근처 산책로에서 하의를 벗고 있던 남성이 경찰에 붙잡혔습니다. 서울 서대문경찰서는... 남성은 어제 오후 3시쯤 서울 서대문구 연세대 근처 숲길 산책로에서 바지와 속옷을 내리고 신체를 노출한...,"Tue, 25 Aug 2026 12:02:00 +0900"
연세대학교,학회 여직원 손바닥 핥은 前연세대 교수…첫 재판서 추행 인정,https://www.newsis.com/view/NISX20260825_0003761604,https://n.news.naver.com/mnews/article/003/0014146593?sid=102,전 연세대 교수가 첫 재판에서 자신의 혐의 일부를 인정했다. 서울동부지법 형사합의12부(부장판사 김세용)는 25일 오전 강제추행치상 혐의를 받는 전 연세대 교수 60대 A씨의 첫 공판기일을 열었다. 검찰에 따르면 A씨는...,"Tue, 25 Aug 2026 12:43:00 +0900"
연세대학교,"연세대서 또…60대男 신체 노출, ‘복면남’ 동일인 여부 조사",https://www.munhwa.com/article/11612007?ref=naver,https://n.news.naver.com/mnews/article/021/0002813858?sid=102,연세대 신촌캠퍼스 인근 산책로에서 신체를 노출한 혐의로 한 남성이 체포됐다. 25일 서울 서대문경찰서는... A 씨는 전날 오후 3시 10분쯤 서대문구 연세대 신촌캠퍼스 인근 안산 자락길 산책로 약수터 인근에서 바지와...,"Tue, 25 Aug 2026 18:53:00 +0900"
연세대학교,연세대 인근서 바지 내린 60대 체포…'알몸남' 동일 여부 조사,https://www.nocutnews.co.kr/news/6567628?utm_source=naver&utm_medium=article&utm_campaign=20260825013747,https://n.news.naver.com/mnews/article/079/0004182077?sid=102,"연세대 신촌캠퍼스 인근 산책로에서 신체를 노출한 60대 남성이 경찰에 붙잡혔다. 25일 경찰에 따르면, 서울... A씨는 전날 오후 3시10분쯤 서대문구 연세대 신촌캠퍼스 인근 안산 자락길의 한 약수터 주변에서 바지와...","Tue, 25 Aug 2026 13:38:00 +0900"
연세대학교,여직원 술 흘리자 손 핥은 前 연세대 교수…재판서 추행 인정,https://biz.heraldcorp.com/article/10851974?ref=naver,https://n.news.naver.com/mnews/article/016/0002688348?sid=102,학회 직원을 추행한 혐의를 받은 전 연세대 교수가 재판에서 혐의 일부를 인정했다. 25일 서울동부지법 형사합의12부(부장판사 김세용)는 강제추행치상 혐의를 받는 전 연세대 교수 60대 A 씨의 첫 공판기일을 열었다....,"Tue, 25 Aug 2026 23:06:00 +0900"
서울대학교,서울대 전력난에 비명…“전기 없어 수억 장비 못쓴다” 무슨 일,https://www.joongang.co.kr/article/25456669,https://n.news.naver.com/mnews/article/025/0003547162?sid=102,서울대 컴퓨터공학부의 A교수는 지난해 인공지능(AI) 연구를 위해 수억원을 들여 그래픽처리장치(GPU)... 서울공대 C교수는 “누군가 서버를 빼야 다른 사람이 사용할 수 있는데 빈자리가 1년 이상 나지 않고 있다”며...,"Thu, 27 Aug 2026 11:15:00 +0900"
서울대학교,AI 데이터 암호화부터 신경발달장애까지…기초연구센터 11곳 신규 지정,https://www.newsis.com/view/NISX20260827_0003764671,https://n.news.naver.com/mnews/article/003/0014152355?sid=103,서울대 '신뢰보장 분산 물리 시스템 연구센터'는 전력·교통망과 군집로봇 등을 안정적으로 제어하기 위한 이론을 개발한다. 서울시립대 '환경부하성 폐자원 고부가 전환 연구센터'는 재활용이 어려운 폐기물을 줄이고...,"Thu, 27 Aug 2026 13:30:00 +0900"
서울대학교,국립대병원 의료장비 10대 중 3대 '노후'…수술 지연 우려도,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=5215165,https://n.news.naver.com/mnews/article/057/0001965813?sid=102,"병원별 노후화율을 살펴보면 서울대치과병원이 전체 의료장비 1,196대 가운데 574대가 내용연수를 초과해... 이 밖에 경상국립대병원 36%, 제주대병원 34%, 서울대병원 본원 30.5%, 서울대병원 분원 30.4% 등 17개 병원 중...","Thu, 27 Aug 2026 08:48:00 +0900"
서울대학교,AI·폐자원 연구 키운다…선도연구센터 11곳 선정,https://www.yna.co.kr/view/AKR20260827057100017?input=1195m,https://n.news.naver.com/mnews/article/001/0016274558?sid=105,"서울대 '수리 알고리즘 및 보안 연구센터', 생명 현상의 근본적 조절 원리를 규명해 온 중앙대 '염색체 시스템·다이내믹스 연구센터' 등이 선정됐다. 공학 분야에서는 연세대 '공중합체 순환형 시스템 연구센터'와 서울시...","Thu, 27 Aug 2026 13:30:00 +0900"
서울대학교,"“피지컬AI 수도 선언”…전북대, ‘서울대 10개 만들기’ 승부수는",https://news.kbs.co.kr/news/pc/view/view.do?ncd=8647074&ref=A,https://n.news.naver.com/mnews/article/056/0012245250?sid=102,"[앵커] 정부가 '서울대 10개 만들기'를 위해 비수도권 거점 국립대학교 3개를 다음 달 선정합니다. 치열한 경쟁 속에, 전북대학교는 '피지컬AI 수도'을 선포하고 도전장을 냈는데, 어떤 결과가 나올까요? 오중호 기자가...","Wed, 26 Aug 2026 21:43:00 +0900"
