대학,기사 제목,언론사 링크,네이버 링크,요약,발행시각
고려대학교,양형으로 짚는 형사사법 100년…고려대-한국양형법학회 공동 학술대회,https://www.news1.kr/society/education/6271517,https://n.news.naver.com/mnews/article/421/0009136054?sid=102,"이동원 대법원 양형위원회 위원장 겸 고려대 법학전문대학원 석좌교수가 '양형기준과 양형실무'를 주제로 기조강연을 펼치며, 이어 문준영 부산대 법학전문대학원 교수가 '조선시대의 양형사상'을 주제로 창립 기념...",2026-08-27 15:00
고려대학교,NBA 출신의 외국선수 매치업은 처음이라…고려대 포워드들은 무엇을 느...,https://m.sports.naver.com/basketball/article/065/0000301066,https://m.sports.naver.com/basketball/article/065/0000301066,고려대 선수들은 경기 내내 오브라이언트와 직접 부딪히며 대학무대에서 쉽게 접하기 어려운 힘과 기술을... 대학 입학 후 외국선수를 직접 상대해 본 것이 이번이 처음이었다. 정재엽은 “대학교에 올라온 지 오래되지...,2026-08-27 14:57
고려대학교,"고려대 연구팀, “청소년기 우울, 30년 내 조기 사망 위험 17.5% 높여”",https://www.etnews.com/20260827000313,https://n.news.naver.com/mnews/article/030/0003461003?sid=102,"고려대학교는 김진호 보건정책관리학부 교수 연구팀이 미국 대표 청소년 패널조사 'Add Health' 대상자 1만4320명을 1994년부터 2023년까지 약 30년간 추적 분석해 이 같은 결과를 확인했다고 27일 밝혔다. 분석 결과, 개인 및...",2026-08-27 14:57
고려대학교,고려대서 '양형의 미래' 논한다…한국양형법학회 학술대회 개최,https://www.newsis.com/view/NISX20260827_0003765384,https://n.news.naver.com/mnews/article/003/0014152551?sid=102,"학술 세션에 앞서 이주원 한국양형법학회 초대회장 겸 고려대 법학전문대학원 교수의 개회사를 시작으로, 최봉경 한국법학교수회장, 이승련 사법정책연구원장을 비롯한 국내 주요 법 관련 학회장 및 사법 연구 기관장들의...",2026-08-27 14:23
고려대학교,형량은 어떻게 정해야 공정한가⋯ 고려대서 '대한민국 양형의 미래' 논...,https://www.asiatime.co.kr/article/20260827500275,https://www.asiatime.co.kr/article/20260827500275,이후 하태훈 고려대 법학전문대학원 명예교수가 좌장을 맡아 '한국 양형연구의 방향과 과제'를 주제로 자유토론을 진행한다. 학술대회 이후에는 한국양형법학회 창립 임시총회가 열린다. 이주원 한국양형법학회 초대회장...,2026-08-27 14:14
고려대학교,"고려대 법학연구원·한국양형법학회, '대한민국 형사사법 100년 대계' 양...",https://www.newstnt.com/news/articleView.html?idxno=715509,https://www.newstnt.com/news/articleView.html?idxno=715509,"개회식에서는 이주원 한국양형법학회 초대회장 겸 고려대 법학전문대학원 교수의 개회사를 비롯해 최봉경 한국법학교수회장, 이승련 사법정책연구원장 등 주요 법학회 및 사법 연구기관 관계자들의 축사가 이어진다....",2026-08-27 14:14
고려대학교,고려대 법학연구원 한국양형법학회와 창립기념 학술대회 공동개최.. '형...,https://www.veritas-a.com/news/articleView.html?idxno=624855,https://www.veritas-a.com/news/articleView.html?idxno=624855,"본격적인 학술 세션에 앞서 이주원 한국양형법학회 초대회장 겸 고려대 법학전문대학원 교수의 개회사를 시작으로, 최봉경 한국법학교수회장, 이승련 사법정책연구원장을 비롯한 국내 주요 법 관련 학회장/사법...",2026-08-27 13:56
고려대학교,"고려대 연구팀 ""청소년기 우울, 자살보다 사고·약물 과용 등 조기 사망...",https://www.newstnt.com/news/articleView.html?idxno=715491,https://www.newstnt.com/news/articleView.html?idxno=715491,고려대학교 보건정책관리학부 김진호 교수 연구팀은 미국 청소년 패널조사인 'Add Health' 대상자 1만4320명을 1994년부터 2023년까지 약 30년간 추적 분석한 결과 이 같은 사실을 확인했다고 27일 밝혔다. 연구팀은...,2026-08-27 13:38
고려대학교,"""'대한민국 양형의 미래' 논한다"" 고려대, '(사)한국양형법학회 창립기...",http://www.popcornnews.net/news/articleView.html?idxno=130968,http://www.popcornnews.net/news/articleView.html?idxno=130968,"본격적인 학술 세션에 앞서 이주원 한국양형법학회 초대회장 겸 고려대 법학전문대학원 교수의 개회사를 시작으로, 최봉경 한국법학교수회장, 이승련 사법정책연구원장을 비롯한 국내 주요 법 관련 학회장 및 사법...",2026-08-27 13:36
고려대학교,"""국민 신뢰 좌우하는 형벌 수위, 사법 100년 대계 세운다""… 고려대서 한...",http://www.dailysmart.co.kr/news/articleView.html?idxno=128792,http://www.dailysmart.co.kr/news/articleView.html?idxno=128792,"행사는 이주원 한국양형법학회 초대회장(고려대 법학전문대학원 교수)의 개회사를 시작으로 최봉경 한국법학교수회장, 이승련 사법정책연구원장 등 주요 사법 연구 기관장, 법 관련 학회장들의 축사로 포문을 연다....",2026-08-27 13:16
연세대학교,"과기정통부, 서울대·연세대·중앙대 등 선도연구센터 11곳 신규 지정",https://www.etnews.com/20260827000287,https://n.news.naver.com/mnews/article/030/0003460981?sid=105,"서울대 수리 알고리즘·보안 연구센터, 연세대 공중합체 순환형 시스템 연구센터, 중앙대 염색체 시스템... 과기정통부는 1990년부터 대학의 조직화된 협동 연구와 산학연 연계 강화를 위해 선도연구센터 사업을...",2026-08-27 14:35
연세대학교,"연세대 신용 교수팀, ""소변 속 암 신호를 동시에 읽는다""… miRNA 다중 정...",https://edu.donga.com/news/articleView.html?idxno=111330,https://edu.donga.com/news/articleView.html?idxno=111330,"연세대학교(총장 윤동섭) 생명공학과 신용 교수팀이 소변에서 암 관련 마이크로RNA(이하 miRNA)를 여러 개, 동시에 분석할 수 있는 새로운 분자 진단 플랫폼을 개발했다. DNA로 만든 나노구조체가 특정 miRNA를...",2026-08-27 13:24
