대학,기사 제목,언론사 링크,네이버 링크,요약,발행시각
고려대학교,"고려대, '한국양형법학회 창립기념 학술대회' 열어",https://www.newsfreezone.co.kr/news/articleView.html?idxno=706163,https://www.newsfreezone.co.kr/news/articleView.html?idxno=706163,"이주원 한국양형법학회 초대회장 겸 고려대 법학전문대학원 교수가 개회사를 시작으로 최봉경 한국법학교수회장, 이승련 사법정책연구원장을 비롯한 국내 주요 법 관련 학회장·사법 연구기관장들의 축사가 이어질...",2026-08-28 09:04
고려대학교,"[고려대 소식] ""청소년기 우울, 30년 내 조기 사망 위험 17.5% 높인다"" 외",http://www.enewstoday.co.kr/news/articleView.html?idxno=2464057,http://www.enewstoday.co.kr/news/articleView.html?idxno=2464057,"본격적인 학술 세션에 앞서 이주원 한국양형법학회 초대회장 겸 고려대 법학전문대학원 교수의 개회사를 시작으로, 최봉경 한국법학교수회장, 이승련 사법정책연구원장을 비롯한 국내 주요 법 관련 학회장 및 사법...",2026-08-28 08:20
고려대학교,'고려대 파크골프 최고위과정' 2기 입학식 개최,http://www.enewstoday.co.kr/news/articleView.html?idxno=2464058,http://www.enewstoday.co.kr/news/articleView.html?idxno=2464058,"고려대 미래교육원 파크골프 최고위과정(KUPG) 사무국은 8월 25일 LG-POSCO경영관 쿠쿠홀에서 '파크골프... 이날 행사는 입학식을 시작으로 오리엔테이션, 환영사 및 축사, 이론 교육, 만찬과 고려대 응원단 문화체험까지...",2026-08-28 08:10
고려대학교,중증질환 로봇수술 강자 부상 고대안산병원,https://www.dailymedi.com/news/news_view.php?wr_id=939894,https://www.dailymedi.com/news/news_view.php?wr_id=939894,"﻿﻿수술방식 패러다임이 로봇으로 급격하게 전환되면서 각 대학병원들 로봇수술 각축전도 치열해지는 양상이다. 시술 건수, 최신장비 도입 등 로봇수술을 시행 중인 병원들 경쟁이 심화되고 있는 가운데 고려대학교...",2026-08-28 06:26
고려대학교,"서울엔 서울대병원, 안산엔 '고려대 안산병원' 있다",http://www.whosaeng.com/sub_read.html?uid=173198&section=sc4,http://www.whosaeng.com/sub_read.html?uid=173198&section=sc4,"고려대 안산병원 배재현 수술실장과 이창민 로봇수술센터장이 로봇수술 5,000례 달성과 관련 이야기를... 유방내분비외과가 암의 위치 등을 고려해 유두나 피부를 보존하면서 암이 있는 유방조직을 제거하면...",2026-08-28 06:02
고려대학교,[2027 수시] 고려대 수시 2731명 선발…전년 대비 28명 증가,https://www.etoday.co.kr/news/view/2618921,https://www.etoday.co.kr/news/view/2618921,이투데이=정용욱 기자 | 고려대학교는 2027학년도 수시모집으로 2731명을 선발한다. 전형별로는... 면접은 제시문 기반으로 7분간 진행되며 의과대학은 MMI를 시행한다. 수능최저학력기준은 미적용된다. 고른기회...,2026-08-28 06:00
고려대학교,"고려대, 학종 총 1675명…학교폭력 조치사항 반영",https://www.mt.co.kr/policy/2026/08/28/2026082615275995937,https://n.news.naver.com/mnews/article/008/0005405996?sid=102,고려대학교는 2027학년도 수시모집에서 전년 대비 28명 늘어난 2731명을 선발한다. 전형별 모집 인원은... 고려대는 입학전형 전반에 학교폭력 조치사항을 반영한다. 서류평가가 포함된 전형은 정성평가 방식으로...,2026-08-28 05:00
고려대학교,"고대구로병원 김현구 교수, 美 의료진에 단일공 로봇 흉부수술 생중계",http://www.docdocdoc.co.kr/news/articleView.html?idxno=3042201,http://www.docdocdoc.co.kr/news/articleView.html?idxno=3042201,고려대구로병원 심장혈관흉부외과 김현구 교수가 미국 주요 의료기관 흉부외과 의료진에게 단일공(싱글포트) 로봇 흉부수술을 실시간으로 선보이며 수술 술기와 임상 경험을 공유했다. 고대구로병원은 김 교수가 지난...,2026-08-27 19:46
연세대학교,"하종원 연세대 의대 교수, 美 메이요클리닉 심장영상 그랜드 라운드 강...",https://www.hankyung.com/article/202608288630i,https://n.news.naver.com/mnews/article/015/0005325834?sid=105,연세대 의대는 하종원 심장내과 교수가 다음달 9일 미국 미네소타주 로체스터 메이요클리닉의 심장영상 그랜드 라운드에서 강연한다고 28일 밝혔다. 메이요클리닉이 초청해 성사된 이번 강연에서 하 교수는 국내 심장영상...,2026-08-28 09:30
연세대학교,"[2027 수시] 연세대, 2075명 선발…과학 제시문 논술 도입·첨단약과학과...",https://www.etoday.co.kr/news/view/2618931,https://www.etoday.co.kr/news/view/2618931,"이투데이=조소현 기자 | 연세대학교가 2027학년도 수시모집에서 정원 내 2075명을 선발한다. 자연·통합계열... 약학대학에는 첨단약과학과를 신설해 수시에서 추천형 4명, 활동우수형 6명 등 총 10명을 선발한다.",2026-08-28 06:00
연세대학교,"미국서 인터넷으로 한국 실험쥐 뇌 조종한다 … KAIST-연세대 의대, IoT ...",http://www.worktoday.co.kr/news/articleView.html?idxno=88518,http://www.worktoday.co.kr/news/articleView.html?idxno=88518,KAIST는 전기및전자공학부 정재웅 교수팀이 연세대 의과대학 김화영 교수팀과 손잡고 이 같은 장치를 개발했다고 27일 발표했다. 그동안 동물의 뇌신경을 자극하거나 약물을 넣으려면 복잡한 유선 장비를 써야 하는 경우가...,2026-08-28 02:40
연세대학교,"[대학동문골프최강전] 연세대·성균관대·인하대·서울대, 여자부 4강 진...",https://www.asiatoday.co.kr/kn/view.php?key=20260827010009643,https://www.asiatoday.co.kr/kn/view.php?key=20260827010009643,아시아투데이 이장원 기자 = NH올원뱅크·아시아투데이 제17회 대학동문골프최강전에서 여자부 디펜딩 챔피언 서울대학교가 4강에 진출했다. 연세대학교는 예선을 1위로 통과하며 첫 우승의 희망을 키웠다.지난해...,2026-08-27 22:26
연세대학교,[대학동문골프최강전] 경희대·연세대 1·2위 예선 통과… '8강 대진' 확...,https://www.asiatoday.co.kr/kn/view.php?key=20260827010009629,https://www.asiatoday.co.kr/kn/view.php?key=20260827010009629,"아시아투데이 천현빈 기자 = 경희대학교가 NH올원뱅크·아시아투데이 제17회 대학동문골프최강전 남자부... 마쳤다.연세대 역시 성연재 동문 70타, 박상수 동문 71타로 합계 141타를 기록하며 경희대와 어깨를 나란히...",2026-08-27 20:52
연세대학교,"연세대 보건·융합보건의료대학원, 최고위과정 37기 모집",http://www.bokuennews.com/news/article.html?no=283217,http://www.bokuennews.com/news/article.html?no=283217,과정은 연세대 보건대학원 권준욱 교수와 연세의료원 바이오헬스기술지주회사 한원선 부사장이 총괄한다. 총 28개 강좌와 부속 행사로 구성하며 ▲패러다임 변화 ▲실제 현장 혁신 ▲거버넌스 ▲응용과 적용 등 4개...,2026-08-27 17:04
서울대학교,"""초기 발굴부터 IPO까지""…키움증권·서울대기술지주, 모험자본 활성화...",http://www.globalepic.co.kr/view.php?ud=2026082809360218867cc35ccc5c_29,http://www.globalepic.co.kr/view.php?ud=2026082809360218867cc35ccc5c_29,키움증권은 이날 오전 서울 여의도 본사에서 서울대기술지주와 '생산적 금융 및 모험자본 확대를 위한 업무협약(MOU)'을 체결했다고 28일 밝혔다. 협약식에는 엄주성 키움증권 대표와 차인환 서울대기술지주 대표 등 양사...,2026-08-28 09:42
서울대학교,"키움증권, 서울대기술지주와 '맞손'…혁신기업 모험자본 확대",https://www.newsis.com/view/NISX20260828_0003766519,https://n.news.naver.com/mnews/article/003/0014154052?sid=101,"서울대기술지주는 서울대학교가 2008년 설립한 투자기관으로 초기 혁신 기업을 발굴, 투자, 육성한다. 협약식은 이날 오전 서울 여의도 키움증권 본사에서 열렸다. 이번 협약으로 양사는 생산적 금융 저변 확대와 모험자본...",2026-08-28 09:38
서울대학교,"성대 신세경vs몸짱 서울대, 40일 연애 ‘남사친 갈등’ (연애전쟁)",https://sports.donga.com/ent/article/all/20260828/134561534/1,https://m.entertain.naver.com/article/382/0001290634,‘성대 신세경’ 김예리와 ‘미스터 서울대’ 이성준이 JTBC ‘연애전쟁’에 출격해 ‘남사친’(남자 사람... ‘성대 신세경’으로 불리는 김예리와 서울대 의과대학 박사과정에 재학 중인 이성준은 연애 40일 만에 결혼과...,2026-08-28 09:34
서울대학교,남사친과 몽골 여행이라니…‘성대 신세경’ vs ‘서울대 몸짱’ 갈등 ...,https://sports.khan.co.kr/article/202608280918003?pt=nv,https://m.entertain.naver.com/article/144/0001134542,‘성대 신세경’과 ‘미스터 서울대’가 남사친을 둘러싼 역대급 갈등을 펼친다. 오는 31일 방송되는 JTBC... ‘성대 신세경’으로 통하는 여친 김예리와 서울대 의과대학에서 박사과정중인 ‘몸짱 남친’ 이성준이...,2026-08-28 09:19
서울대학교,"""'위장 남사친' 수두룩""..'성대 신세경', '서울대 몸짱' 남친과 '연애전...",https://www.starnewskorea.com/star/2026/08/28/2026082808225715765,https://m.entertain.naver.com/article/108/0003465996,'연애전쟁'에 '성대 신세경'과 '미스터 서울대' 커플이 등판한다. 오는 31일 방송되는 JTBC 연애 리얼리티 예능... '성대 신세경'으로 통하는 여친(여자친구) 김예리와 서울대 의과대학에서 박사과정 중인 '몸짱' 남친...,2026-08-28 08:32
서울대학교,"핀란드 위성업체 아이사이, 한국법인 설립···서울대와 우주기술 협력",https://www.seoulfn.com/news/articleView.html?idxno=636671,https://www.seoulfn.com/news/articleView.html?idxno=636671,28일 업계에 따르면 아이사이는 한국법인인 아이사이코리아를 출범하고 서울대학교와 연구협력을 위한 업무협약을 체결했다. 아이사이는 주야간이나 기상 조건에 구애받지 않고 고해상도 영상을 취득할 수 있는 소형...,2026-08-28 08:06
