대학,언론사,기사 제목,기사 요약,발행시각,언론사 링크,네이버 링크
고려대학교,보건뉴스,"고대안암병원 윤승주 교수, 캄보디아 왕립 모니사라폰 훈장 수훈",고려대학교 안암병원 마취통증의학과 윤승주 교수가 캄보디아 보건의료 발전에 기여한 공로를 인정받아... 윤 교수는 고려대학교 안암병원과 캄보디아 측의 보건의료 협력을 바탕으로 루앙메병원이 암 전문...,2026-09-22 14:00,http://www.bokuennews.com/news/article.html?no=284616,http://www.bokuennews.com/news/article.html?no=284616
서울대학교,세계비즈,"시스루 얼라이너, ‘GAMEX 2026’서 소아 교정 전용 투명교정 시스템 선...",양일간 서울 삼성동 코엑스(COEX)에서 열린 경기 국제 종합 학술대회 및 치과기자재 전시회 ‘GAMEX 2026’에... 시스루 얼라이너 키즈는 서울대학교 치과병원과의 공동연구로 개발한 전용 어태치먼트와 SCI급...,2026-09-22 14:00,http://www.segyebiz.com/newsView/20260922510757?OutUrl=naver,http://www.segyebiz.com/newsView/20260922510757?OutUrl=naver
서울대학교,POLINEWS,건강보험연구원 새 수장 김지영…의료비·수가 연구 경험,김 원장은 서울대학교에서 보건학 석사와 의학 박사 학위를 취득했다. 이후 한국보건의료연구원 연구위원을 거쳐 국민건강보험공단 건강지원센터장과 의료비용분석부장 등을 지냈다. 보건·의료 분야에서 20년간 연구와...,2026-09-22 13:59,https://www.polinews.co.kr/news/articleView.html?idxno=743795,https://www.polinews.co.kr/news/articleView.html?idxno=743795
서울대학교,POLINEWS,'청년 직무 중심' 기업 AI 교육…초·중등 기초교육 현장 진입,LG는 서울대학교와 함께 초등학교 6학년부터 중학교 2학년까지 참여할 수 있는 'LG AI 청소년 캠프'를 운영한다. 올해 4기 참가자 100명을 모집하며 참가비는 전액 지원한다. 선발된 학생들은 2027년 2월 서울대에서 2박...,2026-09-22 13:59,https://www.polinews.co.kr/news/articleView.html?idxno=743798,https://www.polinews.co.kr/news/articleView.html?idxno=743798
서울대학교,MEDICOPHARMA,"HIV·간염 치료 변화 이끈 15년…길리어드코리아 ""혁신 혜택 더 많은 환...","'Beyond Medicine: 함께 만들어온 변화, 함께 만들어갈 미래'를 주제로 진행된 패널토론에는 반준우 서울아산병원 임상시험센터 소장, 이경훈 서울대학교병원 혈액종양내과 교수, 김승환 신나는센터 상임이사, 최재연 대표가...",2026-09-22 13:58,https://www.medicopharma.co.kr/news/articleView.html?idxno=69616,https://www.medicopharma.co.kr/news/articleView.html?idxno=69616
고려대학교,루키,"쐐기 3점포에 사령탑도 두 주먹 불끈! 한재혁의 맹활약 속 동국대, 고려...","동국대학교가 21일 고려대 서울캠퍼스 화정체육관에서 열린 2026 KUSF 대학농구 U-리그 고려대학교와의 원정 경기에서 68-61로 승리했다. 이날 승리로 9승 9패, 5할 승률을 맞춘 동국대는 최소한 6위 자리를 확보했다. 이날...",2026-09-22 13:57,http://www.rookie.co.kr/news/articleView.html?idxno=127150,https://m.sports.naver.com/basketball/article/398/0000102847
서울대학교,매일신문,"[매일 탑 리더스 아카데미] ""AI, 잘 다루면 나의 훌륭한 비서가 됩니다...","""이 시간 이후로 일할 때 AI(인공지능)를 비서로 쓸 수 있겠다는 생각이 드셨으면 좋겠습니다."" 지난 21일 열린 매일 탑 리더스 아카데미(매탑) 첫 강연자로 이다연 서울대 대학연대 지역인재양성사업단 교수가 강단에...",2026-09-22 13:57,https://www.imaeil.com/page/view/2026092213555229779,https://n.news.naver.com/mnews/article/088/0001030001?sid=004
서울대학교,SBS Biz,건보공단 건강보험연구원장에 김지영…'수가·의료비용 전문가',"이후 서울대 보건대학원에서 보건학 석사, 서울대 의학과에서 박사 학위를 취득했으며 2014년 예방의학과 전문의 자격을 취득했습니다. 한국보건의료연구원 의료기술평가연구팀 연구위원을 거쳐 2016년 건보공단에...",2026-09-22 13:56,https://biz.sbs.co.kr/article_hub/20000336201?division=NAVER,https://n.news.naver.com/mnews/article/374/0000534361?sid=101
서울대학교,아시아경제,"15주년 맞은 길리어드코리아…""치료 기준 바꾸는 도전 계속""","반준우 서울아산병원 임상시험센터 소장, 이경훈 서울대학교병원 혈액종양내과 교수, 김승환 신나는센터 상임이사, 최 대표가 패널로 참여했다. 이들은 과학 혁신의 혜택을 더 많은 국내 환자에게 연결하기 위해서는...",2026-09-22 13:56,https://view.asiae.co.kr/article/2026092213561057960,https://n.news.naver.com/mnews/article/277/0005819936?sid=101
서울대학교,법률신문,프랑스 담보법부터 한국 계약법까지… 한·불 민사법 개혁 한자리서 논...,"한불민사법학회(회장 김현진)는 2026년 9월 21일 대법원, 서울대 법학연구소(소장 김재형)와 서울 신림동 서울대 로스쿨 백주년기념관에서 한불 수교 140주년 기념 공동학술대회를 개최했다. 이번 학술대회는...",2026-09-22 13:56,https://www.lawtimes.co.kr/news/articleView.html?idxno=226672,https://www.lawtimes.co.kr/news/articleView.html?idxno=226672
서울대학교,내일신문,국민 91% “AI시대 새 사회적 약속 필요”,"대통령직속 기본사회위원회는 지난 19~20일 서울대학교 시흥캠퍼스에서 열린 ‘AI 전환에 따른 기본사회... 일자리 분야에서는 김유빈 한국노동연구원 선임연구위원, 소득보장은 백승호 가톨릭대학교 사회복지학과 교수...",2026-09-22 13:54,https://www.naeil.com/news/read/603212?ref=naver,https://www.naeil.com/news/read/603212?ref=naver
서울대학교,노컷뉴스,"'서울대 10개' 탈락…전북대 총동창회 ""추가 선정 일정 밝혀라""","교육부는 지난 1일 부산대학교와 전남대학교, 충남대학교를 2026년 '서울대 10개 만들기' 패키지 지원대학으로 선정했다. 전북대학교를 비롯한 나머지 국가거점국립대학은 이번 우선 지원 대상에서 제외됐다. 앞서...",2026-09-22 13:54,https://www.nocutnews.co.kr/news/6581975?utm_source=naver&utm_medium=article&utm_campaign=20260922015323,https://n.news.naver.com/mnews/article/079/0004192047?sid=102
고려대학교,충청리뷰,AI 잘 쓰는 학생 넘어 '책임 있게 판단하는 인재'로…충북형 AI교육 밑그...,'문제해결·AI 이해·데이터·협업·윤리' 5대 역량 이번 연구는 김자미 고려대 교수를 연구책임자로 한 연구진이 지난 4월부터 진행했다. 학생의 수준과 역량에 따라 배움이 이어질 수 있는 맞춤형 AI교육 체계를 마련하는...,2026-09-22 13:50,https://www.ccreview.co.kr/news/articleView.html?idxno=358307,https://www.ccreview.co.kr/news/articleView.html?idxno=358307
서울대학교,ECONONEWS,"호반그룹, 2027년 신입사원 공채…건설·제조·유통·레저-AI 오픈 인터뷰...","호반그룹은 공채에 앞서 지난 11일 서울 본사에서 채용설명회를 열었다. 서울대와 성균관대, 한양대 등 8개 대학에서는 캠퍼스 채용 행사를 진행했다. 이번 공채는 여러 계열사가 동시에 참여하지만 모집 직무와 요구...",2026-09-22 13:50,http://www.econonews.co.kr/news/articleView.html?idxno=444734,http://www.econonews.co.kr/news/articleView.html?idxno=444734
고려대학교,이데일리,"고려대의료원, 미국 의료혁신기관과 손잡고 바이오 해외 진출 가속화",고려대의료원은 한국특허전략개발원 IP-TLO 얼라이언스의 글로벌 마케팅 분과장이자 한국보건산업진흥원 H+TLO 네트워크의 주도기관으로서 국내 대학·병원·연구기관 간 기술사업화 협력을 이끌고 있다....,2026-09-22 13:49,https://www.edaily.co.kr/News/Read?newsId=03709686645582744&mediaCodeNo=257&utm_source=naver&utm_medium=referral&utm_campaign=news_syndication&utm_content=original_article,https://n.news.naver.com/mnews/article/018/0006374332?sid=102
고려대학교,라포르시안,"고대의료원, 국내 바이오·의료기술 美 진출 지원 확대","먼저 지난 4일 고려대 메디사이언스파크에서 열린 '2026 Korea-JHTV Bio Partnering Day'에서는 존스홉킨스대와... 김학준 고려대 의학연구처장은 ""우수한 연구 성과가 실제 의료현장에서 활용되고 사업화로 이어지려면...",2026-09-22 13:48,https://www.rapportian.com/news/articleView.html?idxno=240663,https://www.rapportian.com/news/articleView.html?idxno=240663
연세대학교,뉴시스,"""반바지 입어 깊이 반성""…연세대 치대생 반성문, 강의실에 붙었다","김드보라 인턴 기자 = 연세대학교 치과대학 학생들이 반바지를 입는 등 교내 복장 규정을 지키지 않았다는... 네티즌들은 ""대학교인데 반성문을 내라고 하는 간섭을 누가 하는 것이냐"", ""진료실에서 입은 것도 아닌데 사복을...",2026-09-22 13:48,https://www.newsis.com/view/NISX20260922_0003800034,https://n.news.naver.com/mnews/article/003/0014207898?sid=102
고려대학교,전자신문,"[ET특징주]셀리드, 휴니버스글로벌 최대주주 변경 소식에 상승세",휴니버스글로벌은 2017년 국가전략 프로젝트를 계기로 고려대학교의료원 산하 정밀의료사업단에서 출범한 정밀의료 플랫폼 기업이다. 고려대학교의료기술지주가 37%의 지분을 보유하고 있다. 휴니버스글로벌이...,2026-09-22 13:47,https://www.etnews.com/20260922000305,https://n.news.naver.com/mnews/article/030/0003469364?sid=101
서울대학교,FTODAY,"[기획③] 언론도 놓친 AI 영상, 시민의 '9가지 확인'…""확신 없으면 공유...",'AI 시대의 미디어 리터러시'(내하출판사 刊)를 펴낸 홍숙영 한세대학교 미디어영상광고학과 교수는 태국의... 양승목 서울대 언론정보학과 명예교수는 '가짜의 바다에서 진짜를 알아보는 힘'(김영사 刊)에서 허위 정보...,2026-09-22 13:46,http://www.ftoday.co.kr/news/articleView.html?idxno=365536,http://www.ftoday.co.kr/news/articleView.html?idxno=365536
서울대학교,HITNEWS,길리어드 15년…HIV·간염 넘어 암까지 '미충족 수요' 공략,"신지원 길리어드사이언스코리아 대외협력부 상무, 반준우 서울아산병원 임상시험센터 소장, 이경훈 서울대학교병원 혈액종양내과 교수, 김승환 신나는센터 상임이사, 최재연 길리어드사이언스코리아 대표...",2026-09-22 13:46,https://www.hitnews.co.kr/news/articleView.html?idxno=79342,https://www.hitnews.co.kr/news/articleView.html?idxno=79342
